D2;ActionState;timeScale;Frame;Time
D2;PREDRIVE;1;592;4.979729
D2;PREDRIVE;1;593;4.987992
D2;PREDRIVE;1;594;4.996195
D2;PREDRIVE;1;595;5.004428
D2;PREDRIVE;1;596;5.012969
D2;PREDRIVE;1;597;5.020904
D2;PREDRIVE;1;598;5.029129
D2;PREDRIVE;1;599;5.037362
D2;PREDRIVE;1;600;5.045897
D2;PREDRIVE;1;601;5.053829
D2;PREDRIVE;1;602;5.062838
D2;PREDRIVE;1;603;5.070296
D2;PREDRIVE;1;604;5.078734
D2;PREDRIVE;1;605;5.086762
D2;PREDRIVE;1;606;5.095721
D2;PREDRIVE;1;607;5.10371
D2;PREDRIVE;1;608;5.111463
D2;PREDRIVE;1;609;5.119697
D2;PREDRIVE;1;610;5.12793
D2;PREDRIVE;1;611;5.136642
D2;PREDRIVE;1;612;5.144397
D2;PREDRIVE;1;613;5.15263
D2;PREDRIVE;1;614;5.160863
D2;PREDRIVE;1;615;5.169543
D2;PREDRIVE;1;616;5.177527
D2;PREDRIVE;1;617;5.185562
D2;PREDRIVE;1;618;5.193796
D2;PREDRIVE;1;619;5.202465
D2;PREDRIVE;1;620;5.210428
D2;PREDRIVE;1;621;5.218497
D2;PREDRIVE;1;622;5.22673
D2;PREDRIVE;1;623;5.235391
D2;PREDRIVE;1;624;5.243361
D2;PREDRIVE;1;625;5.25143
D2;PREDRIVE;1;626;5.259663
D2;PREDRIVE;1;627;5.268252
D2;PREDRIVE;1;628;5.276278
D2;PREDRIVE;1;629;5.284363
D2;PREDRIVE;1;630;5.292596
D2;PREDRIVE;1;631;5.30117
D2;PREDRIVE;1;632;5.30915
D2;PREDRIVE;1;633;5.317296
D2;PREDRIVE;1;634;5.32553
D2;PREDRIVE;1;635;5.334139
D2;PREDRIVE;1;636;5.342112
D2;PREDRIVE;1;637;5.35023
D2;PREDRIVE;1;638;5.358464
D2;PREDRIVE;1;639;5.36703
D2;PREDRIVE;1;640;5.375065
D2;PREDRIVE;1;641;5.383162
D2;PREDRIVE;1;642;5.391397
